City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Port Lincoln,100,AU,1571631859,71,-34.72,135.86,63.32,7.18
Kawalu,38,ID,1571631859,49,-7.38,108.21,83.67,7.25
Loudeac,0,FR,1571631860,100,48.18,-2.75,50.0,5.82
Vestmanna,100,FO,1571631535,81,62.16,-7.17,46.4,19.46
College,75,US,1571631526,74,64.86,-147.8,35.01,4.7
Naze,100,NG,1571631860,96,5.43,7.07,73.13,2.62
Gushikawa,1,JP,1571631861,70,26.35,127.87,84.2,11.41
Panjab,0,AF,1571631861,34,34.38,67.02,34.55,0.92
Lagoa,0,PT,1571631861,87,37.14,-8.45,54.0,7.09
Ouadda,100,CF,1571631862,91,8.07,22.4,67.89,0.83
Constitucion,90,MX,1571631862,88,23.99,-104.67,66.2,8.05
Turukhansk,100,RU,1571631862,57,65.8,87.96,24.81,19.53
San Patricio,96,PY,1571631862,97,-26.98,-56.83,61.14,5.77
Shimoda,75,JP,1571631863,77,34.7,138.93,72.0,23.04
Grants Pass,90,US,1571631863,76,42.44,-123.33,55.4,2.13
Grajewo,100,PL,1571631863,94,53.65,22.46,48.0,4.59
Fort Madison,1,US,1571631864,87,40.63,-91.32,55.4,8.05
Ostrovnoy,92,RU,1571631864,88,68.05,39.51,19.65,9.62
Farsund,0,NO,1571631865,84,58.09,6.8,48.0,1.99
Yarkovo,75,RU,1571631865,79,54.81,82.6,21.2,2.73
Sur,0,OM,1571631866,39,22.57,59.53,79.41,2.8
Fairbanks,75,US,1571631866,74,64.84,-147.72,35.01,4.7
La Union,63,GT,1571631866,1,14.97,-89.29,72.0,0.47
Bismarck,40,US,1571631867,100,46.81,-100.78,41.0,17.22
Kenai,90,US,1571631867,86,60.55,-151.26,42.01,5.82
Kahului,20,US,1571631868,65,20.89,-156.47,80.6,10.29
Hofn,100,IS,1571631868,99,64.25,-15.21,35.27,10.92
Prainha,78,BR,1571631868,94,-1.8,-53.48,74.66,2.01
Burnie,0,AU,1571631868,41,-41.05,145.91,70.0,11.99
Qandala,0,SO,1571631477,70,11.47,49.87,79.44,9.75
Yulara,100,AU,1571631869,8,-25.24,130.99,87.8,10.29
Puerto Escondido,40,MX,1571631870,69,15.86,-97.07,78.8,5.82
Tasiilaq,0,GL,1571631870,79,65.61,-37.64,21.2,4.7
Namatanai,77,PG,1571631870,69,-3.66,152.44,83.75,8.75
Ahipara,45,NZ,1571631871,67,-35.17,173.16,64.99,4.0
Tecoanapa,75,MX,1571631871,88,16.99,-99.26,80.6,5.82
Kupang,20,ID,1571631871,44,-10.16,123.6,93.2,11.41
Dwarka,20,IN,1571631459,73,28.58,77.04,84.0,5.82
Lahij,68,YE,1571631872,75,13.06,44.88,76.22,10.51
Araouane,0,ML,1571631872,20,18.9,-3.53,87.83,9.31
Znamenskoye,74,RU,1571631872,57,57.13,73.82,23.61,9.86
Nishihara,75,JP,1571631873,64,35.74,139.53,72.0,6.93
Rio Grande,100,BR,1571631873,80,-32.03,-52.1,57.05,5.17
Sedhiou,1,SN,1571631874,94,12.71,-15.56,80.6,4.03
Dondo,75,MZ,1571631874,94,-19.62,34.74,77.0,5.82
Merrill,1,US,1571631875,86,42.03,-121.6,42.01,3.83
Petropavlovsk-Kamchatskiy,0,RU,1571631875,39,53.05,158.65,46.4,8.95
Alofi,4,NU,1571631519,94,-19.06,-169.92,77.0,4.7
Pisco,0,PE,1571631876,82,-13.71,-76.2,62.6,6.93
Acari,0,BR,1571631876,74,-6.44,-36.64,74.3,9.46
Pandan,91,PH,1571631876,76,11.72,122.09,83.21,10.78
Lubao,100,CD,1571631877,94,-5.39,25.75,68.77,2.77
Zhangye,10,CN,1571631877,31,38.94,100.46,50.18,4.81
Lasa,20,CY,1571631433,55,34.92,32.53,64.4,6.93
Severo-Kurilsk,0,RU,1571631878,71,50.68,156.12,42.17,12.3
Rawson,67,AR,1571631878,18,-43.3,-65.11,66.27,17.29
Saskylakh,100,RU,1571631878,86,71.97,114.09,8.31,11.14
Smithers,90,CA,1571631879,100,54.78,-127.17,37.4,2.24
Yuli,44,CN,1571631879,73,24.82,106.77,74.94,1.77
Sistranda,75,NO,1571631879,86,63.73,8.83,44.01,4.7
Rocha,100,UY,1571631414,93,-34.48,-54.34,51.22,5.28
Raton,1,US,1571631880,19,36.9,-104.44,39.99,3.36
Pochinki,100,RU,1571631880,95,54.7,44.85,50.07,9.75
Kloulklubed,75,PW,1571631582,79,7.04,134.26,84.2,5.82
Kudahuvadhoo,90,MV,1571631881,72,2.67,72.89,82.76,7.99
Caravelas,100,BR,1571631882,82,-17.73,-39.27,74.93,11.77
Chokurdakh,85,RU,1571631882,95,70.62,147.9,2.8,4.25
Solnechnyy,58,RU,1571631882,60,50.72,136.64,52.98,6.67
Hokitika,97,NZ,1571631883,63,-42.72,170.96,52.71,18.92
Asbestos,1,CA,1571631883,93,45.78,-71.93,39.0,4.7
Hualmay,7,PE,1571631883,90,-11.1,-77.61,61.64,18.19
Nanakuli,90,US,1571631884,78,21.39,-158.15,82.4,8.05
Abu Dhabi,0,AE,1571631884,69,24.47,54.37,82.4,3.36
Joinville,75,BR,1571631884,82,-26.3,-48.85,64.4,4.7
Ribeira Grande,52,PT,1571631885,61,38.52,-28.7,65.33,8.81
Kirakira,83,SB,1571631885,78,-10.46,161.92,82.7,7.63
Beya,100,RU,1571631885,81,53.05,90.92,19.61,2.64
Kuytun,100,RU,1571631886,69,54.34,101.51,27.73,6.53
Husavik,100,CA,1571631886,86,50.56,-96.99,46.99,7.2
Nyaunglebin,24,MM,1571631886,69,17.95,96.73,86.01,3.11
Lundazi,100,ZM,1571631887,69,-12.29,33.17,66.77,3.42
Lavrentiya,100,RU,1571631887,95,65.58,-170.99,24.87,5.06
Narsaq,0,GL,1571631887,19,60.91,-46.05,48.2,20.8
San Quintin,50,PH,1571631887,61,17.54,120.52,86.28,3.33
Eenhana,58,NA,1571631888,28,-17.48,16.34,74.71,7.23
Umea,0,SE,1571631888,92,63.83,20.26,30.2,4.7
Rexburg,1,US,1571631888,64,43.82,-111.79,37.4,14.99
Tateyama,75,JP,1571631889,72,36.66,137.31,68.0,1.12
Coihaique,20,CL,1571631313,93,-45.58,-72.07,41.0,4.61
Acapulco,75,MX,1571631889,88,16.86,-99.88,80.6,5.82
Saint-Pierre,90,FR,1571631890,87,48.95,4.24,57.2,23.04
Sawtell,0,AU,1571631464,56,-30.38,153.1,75.2,10.29
Laela,17,TZ,1571631890,74,-8.57,32.05,63.82,3.53
Parana,0,BR,1571631890,94,-7.52,-72.89,75.2,2.42
Hovd,75,NO,1571631891,93,63.83,10.7,44.01,10.29
Awjilah,0,LY,1571631541,73,29.14,21.3,67.22,9.06
Berberati,55,CF,1571631891,98,4.26,15.79,66.86,3.02
Naryan-Mar,16,RU,1571631892,80,67.67,53.09,21.29,4.03
Ulladulla,0,AU,1571631553,40,-35.36,150.48,73.99,12.75
Road Town,20,VG,1571631543,74,18.42,-64.62,82.99,3.36
Tutoia,77,BR,1571631893,93,-2.76,-42.27,74.04,4.29
Raudeberg,40,NO,1571631503,93,61.99,5.14,42.01,3.36
Wasilla,90,US,1571631893,52,61.58,-149.44,42.01,11.41
Hithadhoo,43,MV,1571631894,75,-0.6,73.08,80.79,11.34
Buala,100,SB,1571631894,69,-8.15,159.59,84.56,9.22
Urucara,36,BR,1571631894,92,-2.54,-57.76,75.54,0.83
Touros,75,BR,1571631895,83,-5.2,-35.46,75.2,4.7
Ishigaki,75,JP,1571631895,69,24.34,124.16,80.6,13.87
Port-Gentil,99,GA,1571631896,83,-0.72,8.78,77.46,0.25
Camamu,50,BR,1571631896,99,-13.94,-39.11,67.55,0.29
Bubaque,85,GW,1571631579,86,11.28,-15.83,81.12,10.89
Tucurui,85,BR,1571631897,94,-3.77,-49.67,74.26,1.79
Sudak,0,UA,1571631897,89,44.85,34.97,52.79,2.75
Hambantota,75,LK,1571631897,94,6.12,81.12,80.6,6.93
Kangaba,98,ML,1571631898,81,11.94,-8.41,74.08,3.89
Porbandar,20,IN,1571631898,74,21.64,69.61,78.8,11.41
Mitsamiouli,20,KM,1571631899,74,-11.38,43.28,78.8,3.36
Kisoro,93,UG,1571631899,87,-1.28,29.69,51.63,1.68
Samarai,93,PG,1571631899,88,-10.62,150.67,78.08,6.62
Faya,0,SA,1571631900,33,18.39,42.45,59.0,3.31
Tiznit,0,MA,1571631900,82,29.7,-9.73,65.26,16.24
Oleksandrivka,0,UA,1571631900,72,48.97,32.24,50.03,5.01
Santa Elena,100,EC,1571631901,86,-2.23,-80.86,69.96,10.02
Paracuru,75,BR,1571631901,74,-3.41,-39.03,79.0,10.29
Miguel Calmon,0,BR,1571631901,68,-11.43,-40.6,67.22,5.14
Abaete,91,BR,1571631902,69,-19.16,-45.45,75.79,6.33
Terra Santa,53,BR,1571631902,91,-2.1,-56.49,75.57,1.66
Luganville,40,VU,1571631903,79,-15.51,167.18,84.2,10.29
Navoi,75,IT,1571631903,93,46.17,11.83,66.99,6.93
Indi,100,IN,1571631903,84,17.17,75.96,74.67,13.49
Sao Gabriel da Cachoeira,100,BR,1571631903,94,-0.13,-67.09,74.6,0.76
Miramar,75,CR,1571631904,94,10.09,-84.73,73.0,3.36
Loreto,33,PY,1571631905,92,-23.27,-57.32,72.59,9.06
Ouargaye,82,BF,1571631905,80,11.5,0.06,75.77,7.23
Kamaishi,75,JP,1571631906,63,39.28,141.86,64.4,2.24
Ucluelet,67,CA,1571631473,91,48.94,-125.55,52.0,1.01
Tadine,0,NC,1571631906,78,-21.55,167.88,74.73,13.82
Sant Feliu de Guixols,20,ES,1571631906,87,41.78,3.03,62.01,3.36
Shellbrook,90,CA,1571631907,86,53.22,-106.39,28.4,2.24
Monte Santo,0,BR,1571631907,80,-10.44,-39.33,71.69,7.65
Yokosuka,75,JP,1571631907,72,35.24,139.66,72.0,14.99
Wajid,65,SO,1571631908,75,3.81,43.25,77.1,12.5
Kysyl-Syr,100,RU,1571631529,88,63.9,122.77,30.05,7.09
Whitehorse,20,CA,1571631909,86,60.72,-135.06,28.4,4.7
Buchanan,40,LR,1571631910,94,5.88,-10.05,77.0,5.84
Price,1,US,1571631910,63,39.6,-110.81,35.01,6.93
Jackville,20,CI,1571631911,94,5.21,-4.42,78.8,8.05
Toyooka,75,JP,1571631911,100,35.55,134.82,66.2,1.12
Trofors,76,NO,1571631912,80,65.54,13.39,37.4,10.29
Jiaocheng,0,CN,1571631912,32,24.68,116.14,78.56,2.04
Honiara,40,SB,1571631913,62,-9.43,159.96,87.8,8.05
Makakilo City,90,US,1571631913,78,21.35,-158.09,82.4,8.05
Sioux Lookout,90,CA,1571631913,86,50.1,-91.92,46.4,2.24
Itarema,84,BR,1571631914,93,-2.92,-39.92,73.18,3.69
Yarada,75,IN,1571631914,74,17.65,83.27,86.0,10.29
Bystrice,0,CZ,1571631915,93,49.64,18.72,55.0,1.12
Ayan,75,IR,1571631915,100,38.23,44.7,51.8,4.54
General Roca,0,AR,1571631915,44,-39.03,-67.58,59.0,8.05
Khuzhir,0,RU,1571631916,74,53.19,107.35,23.84,4.88
Iki-Burul,7,RU,1571631916,93,45.82,44.65,42.01,6.71
Dinar,0,TR,1571631916,64,38.07,30.16,44.6,1.12
Muisne,94,EC,1571631917,86,0.61,-80.02,74.76,13.71
Vardo,90,US,1571631917,87,39.62,-77.74,54.0,5.82
Dhone,100,IN,1571631917,88,15.4,77.87,73.04,4.83
Yerbogachen,100,RU,1571631519,64,61.28,108.01,23.84,4.16
San Carlos,100,NI,1571631558,1,11.12,-84.78,73.0,5.59
Olga,1,US,1571631918,49,34.11,-118.17,78.8,9.24
Wangqing,0,CN,1571631554,28,43.31,129.76,56.24,0.34
Kotma,88,IN,1571631919,81,23.2,81.98,68.7,2.57
Saint-Joseph,90,FR,1571631919,100,43.56,6.97,64.4,1.12
Yilan,0,CN,1571631919,35,43.11,129.52,56.39,7.02
Quatre Cocos,90,MU,1571631330,88,-20.21,57.76,75.0,13.87
Aswan,0,EG,1571631920,25,24.09,32.9,73.4,6.93
Emmett,90,US,1571631920,61,43.87,-116.5,48.2,5.82
Mendi,1,ET,1571631921,86,9.8,35.1,61.7,4.25
Yangambi,100,CD,1571631921,95,0.77,24.47,68.63,1.28
Salta,0,AR,1571631921,93,-24.79,-65.41,57.2,5.66
Kyren,99,RU,1571631922,77,51.68,102.13,15.26,2.26
Daru,1,PG,1571631922,58,-9.07,143.21,83.28,9.6
Hoganas,100,SE,1571631923,100,56.2,12.56,53.01,2.24
Eskisehir,0,TR,1571631923,100,39.78,30.52,41.0,2.24
Luwuk,9,ID,1571631923,57,-0.95,122.79,76.51,7.54
Isla Mujeres,75,MX,1571631924,83,21.23,-86.73,80.6,5.82
